菌名,菌种,来源（鸡、鸭、猪、牛、环境等）,样品（拭子、病料等）,二代测序数据,氨苄西林,头孢他啶,头孢噻呋,庆大霉素,大观霉素,四环素,氟苯尼考,复方新诺明,恩诺沙星,氧氟沙星,美罗培南,乙酰甲喹,安普霉素,黏菌素,奥格门丁,磺胺异噁唑
demo_001,沙门菌,肉鸡,盲肠,无,512.00,1.00,0.5,>512,32.00,128.00,>256,>32/608,>32,>64,<0.03,8.00,16,0.50,8/16,>512
demo_002,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,64,4,>32/608,0.5,4,<0.03,8.00,4,1,0.5/0.25,512
demo_003,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,32,>256,0.12/2.4,1,2,<=0.03,4.00,8,0.5,256/128,>512
demo_004,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,32,>256,0.12/2.4,1,2,<=0.03,8.00,8,2,16/8,>512
demo_005,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,0.5,16,4,4,0.12/2.4,0.5,1,<=0.03,8.00,8,4,8/4,>512
demo_006,沙门菌,肉鸡,盲肠,无,512.00,1.00,1,<=0.25,8,2,4,0.25/4.8,0.25,1,<=0.03,4,4,4,8/4,>512
demo_007,沙门菌,肉鸡,盲肠,无,512.00,0.50,0.5,0.5,16,128,4,0.25/4.8,0.5,1,<0.03,8,8,4,16/8,>512
demo_008,沙门菌,肉鸡,盲肠,无,512.00,0.25,0.5,0.5,16,2,2,<0.06/1.2,0.5,2,<0.03,4,8,1,1/0.5,16
demo_009,沙门菌,肉鸡,盲肠,无,512.00,<0.12,0.5,16,>128,64,>256,>32/608,2,16,<0.03,128,>64,0.5,16/8,>512
demo_010,沙门菌,肉鸡,盲肠,无,512.00,16.00,32,0.50,32.00,4.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,16,4.00,1/0.5,16.00
demo_011,沙门菌,肉鸡,盲肠,无,512.00,0.50,1,<=0.25,16,2,4,0.12/2.4,0.25,0.5,<=0.03,8,4,4,0.5/0.25,16
demo_012,沙门菌,肉鸡,盲肠,无,512.00,8.00,64,0.5,32,4,2,<0.06/1.2,0.5,1,<0.03,8,16,4,1/0.5,16
demo_013,沙门菌,肉鸡,盲肠,无,512.00,0.25,128.00,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,32,8,0.50,64/32,>512
demo_014,沙门菌,肉鸡,盲肠,无,512.00,0.50,1,<=0.25,16,4,2,0.12/2.4,0.12,0.5,<=0.03,8,8,2,0.5/0.25,16
demo_015,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,1,0.5,16,128,2,0.25/4.8,0.5,1,<0.03,8,8,4,16/8,>512
demo_016,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,0.5,1,128,128,4,>32/608,0.25,1,<0.03,16,8,4,8/4,>512
demo_017,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,0.50,0.50,16.00,2.00,2.00,0.25/4.8,0.25,1.00,<0.03,8,8,2.00,8/16,>512
demo_018,沙门菌,蛋鸡,肛拭子,无,512.00,1.00,1.00,0.50,32.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,8,4.00,1/0.5,16.00
demo_019,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,0.50,0.50,64.00,8.00,2.00,0.25/4.8,0.25,1.00,<0.03,8,4,4.00,8/16,>512
demo_020,沙门菌,蛋鸡,肛拭子,无,512.00,0.25,0.50,1.00,>128,16.00,4.00,>32/608,16.00,32.00,<0.03,64,8,>256,8/16,>512
demo_021,沙门菌,蛋鸡,肛拭子,无,512.00,<0.12,0.50,0.50,16.00,2.00,4.00,0.25/4.8,0.25,0.50,<0.03,8,8,2.00,8/16,>512
demo_022,沙门菌,蛋鸡,肛拭子,无,512.00,16.00,32.00,0.50,128.00,2.00,2.00,>32/608,0.25,0.50,<0.03,8,8,4.00,8/4,16.00
demo_023,沙门菌,蛋鸡,肛拭子,无,512.00,0.50,1.00,0.5,16.00,2,4,0.12/2.4,0.25,0.5,<=0.03,4,8,4,0.5/0.25,16
demo_024,沙门菌,蛋鸡,肛拭子,无,512.00,2.00,128.00,0.5,32.00,2,2,<0.06/1.2,0.25,1,<0.03,8,8,4,1/0.5,16
demo_025,沙门菌,蛋鸡,肛拭子,无,4.00,1.00,2,0.5,32.00,2,2,<0.06/1.2,8,8,<0.25,8,64,8,1/0.5,16
demo_026,沙门菌,肉鸡,肛拭子,无,4.00,0.50,2,1.00,16.00,4.00,4.00,0.25/4.8,0.50,0.50,<0.03,8,8,2.00,8/16,>512
demo_027,沙门菌,肉鸡,肛拭子,无,4.00,1.00,1.00,8.00,>128,32.00,>256,>32/608,32.00,8.00,<0.03,32,>64,>256,8/16,>512
demo_028,沙门菌,肉鸡,肛拭子,无,2.00,1.00,1,1,16,128,2,0.25/4.8,0.5,2,<0.03,8,8,0.5,1/0.5,>512
demo_029,沙门菌,肉鸡,肛拭子,无,2.00,1.00,1,1,32.00,64,4,>32/608,0.5,2,<0.03,8,4,0.5,1/0.5,512
demo_030,沙门菌,肉鸡,肛拭子,无,2.00,1.00,1,0.5,16.00,64,2,>32/608,0.5,2,<0.03,4,8,0.5,0.5/0.25,32
demo_031,沙门菌,肉鸡,肛拭子,无,2.00,1.00,0.5,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,16,16,0.50,8/16,>512
demo_032,沙门菌,肉鸡,肛拭子,无,2.00,32.00,8.00,4.00,>128,128.00,>256,>32/608,16.00,32.00,<0.03,64,>64,4.00,8/4,>512
demo_033,沙门菌,肉鸡,肛拭子,无,2.00,0.50,0.5,>512,1,>512,8,0.5/9.5,>32,64,<=0.03,8,8,0.5,2/1,16
demo_034,沙门菌,猪,肛拭子,无,2.00,1.00,1,0.5,16,2,4,<0.06/1.2,0.5,2,<0.03,8,8,2,1/0.5,16
demo_035,沙门菌,猪,肛拭子,无,2.00,1.00,1,0.50,32.00,2.00,2.00,<0.06/1.2,0.25,1.00,<0.03,8,8,4.00,1/0.5,16.00
demo_036,沙门菌,猪,肛拭子,无,2.00,1.00,0.5,>512,16.00,128.00,>256,0.25/4.8,>32,>64,<0.03,8,16,0.50,8/16,>512
demo_037,沙门菌,猪,肛拭子,无,2.00,1.00,0.5,8,32,64,256,>32/608,2,4,<0.03,32,8,1,8/4,>512
demo_038,沙门菌,猪,肛拭子,无,2.00,1.00,1,0.50,32.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,8,4.00,1/0.5,16.00
demo_039,沙门菌,猪,肛拭子,无,2.00,1.00,0.5,0.5,16,1,2,0.25/4.8,0.25,1,<0.03,8,4,4,8/4,>512
demo_040,沙门菌,猪,肛拭子,无,2.00,0.50,0.5,>512,1,>512,16,1/19,>32,64,<=0.03,8,8,0.5,2/1,32
demo_041,沙门菌,猪,肛拭子,无,2.00,1.00,2,4,>128,32,>256,>32/608,>32,16,0.06,32,>64,4.00,4/2,>512
demo_042,沙门菌,猪,肛拭子,无,2.00,0.50,1,0.5,16,2,4,0.25/4.8,0.5,1,<0.03,8,4,2,16/8,>512
demo_043,沙门菌,猪,肛拭子,无,2.00,0.50,1,0.5,16,2,4,0.25/4.8,0.25,0.5,<0.03,8,8,2,16/8,>512
demo_044,沙门菌,猪,肛拭子,无,2.00,2.00,1,0.5,32,64,4,>32/608,1,2,<0.03,16,8,1,0.5/0.25,64
demo_045,沙门菌,猪,肛拭子,无,2.00,2.00,1,0.50,16.00,128.00,2.00,0.25/4.8,0.50,1.00,<0.03,8,8,4.00,8/16,>512
demo_046,沙门菌,猪,肛拭子,无,2.00,1.00,0.5,>512,16,>512,>256,>32/608,>32,>64,<=0.03,8,8,0.5,8/4,>512
demo_047,沙门菌,猪,肛拭子,无,2.00,1.00,1,<=0.25,8,2,4,0.12/2.4,0.25,1,<=0.03,8,4,4,8/4,>512
demo_048,沙门菌,猪,肛拭子,无,2.00,0.50,0.5,8,16,2,2,0.25/4.8,0.25,1,<0.03,8,8,4,8/4,>512
demo_049,沙门菌,猪,肛拭子,无,2.00,2.00,1,0.50,16.00,2.00,4.00,0.25/4.8,0.50,1.00,<0.03,8,4,2.00,8/16,>512
demo_050,沙门菌,猪,肛拭子,无,2.00,1.00,1,<=0.25,8,2,4,0.25/4.8,0.25,1,<=0.03,8,4,4,4/2,>512
demo_051,沙门菌,肉鸡,盲肠,无,2.00,1.00,1,<=0.25,1,8,>256,0.25/4.8,0.25,1,<=0.03,8,4,4,8/4,>512
demo_052,沙门菌,肉鸡,盲肠,无,2.00,1.00,1,32,16,512.00,>256,0.25/4.8,1,2,<=0.03,8,>64,0.5,>512/256,>512
demo_053,沙门菌,肉鸡,盲肠,无,2.00,1.00,1,16,16,512.00,>256,0.12/2.4,1,2,<=0.03,2,>64,0.5,16/8,>512
demo_054,沙门菌,肉鸡,盲肠,无,2.00,1.00,1,<=0.25,0.5,4,>256,0.12/2.4,0.25,1,<=0.03,4,4,4,4/2,>512
demo_055,沙门菌,肉鸡,盲肠,无,2.00,0.50,0.5,8,>128,2,2,2/38,0.25,1,<0.03,8,4,4,8/4,32
demo_056,沙门菌,肉鸡,盲肠,无,2.00,1.00,1.00,0.50,16.00,2.00,2.00,0.25/4.8,0.50,1.00,<0.03,8,4,4.00,8/16,>512
demo_057,沙门菌,肉鸡,盲肠,无,2.00,0.50,0.50,0.50,16.00,2.00,4.00,0.25/4.8,0.50,0.50,<0.03,8,8,2.00,8/16,>512
demo_058,沙门菌,肉鸡,盲肠,无,2.00,1.00,1.00,0.50,16.00,1.00,2.00,0.25/4.8,0.25,0.50,<0.03,8,8,4.00,8/16,>512
demo_059,沙门菌,肉鸡,盲肠,无,2.00,1.00,1.00,0.5,128,2,2,>32/608,0.25,0.5,<0.03,8,4,4,8/4,16
demo_060,沙门菌,肉鸡,盲肠,无,2.00,1.00,1.00,256.00,16,2,2,<0.06/1.2,0.5,1,<0.03,8,8,2,8/4,16
demo_061,沙门菌,肉鸡,盲肠,无,2.00,0.50,0.50,0.5,128,2,2,>32/608,0.25,1,<0.03,8,4,4,8/4,16
demo_062,沙门菌,肉鸡,盲肠,无,2.00,0.50,1.00,<=0.25,8,2,2,0.12/2.4,0.25,0.5,<=0.03,4,8,4,0.5/0.25,16
demo_063,沙门菌,肉鸡,盲肠,无,256.00,1.00,0.5,0.50,128.00,2.00,2.00,>32/608,0.25,1.00,<0.03,8,8,4.00,8/4,16.00
demo_064,沙门菌,肉鸡,盲肠,无,256.00,1.00,0.5,32,32,512.00,>256,>32/608,1,2,<=0.03,4,8,0.5,8/4,>512
demo_065,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.25,1,32,2,4,0.12/2.4,0.25,1,<0.03,8,8,1,1/0.5,256
demo_066,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.5,>512,1,>512,32,1/19,>32,32,<=0.03,8,8,0.5,4/2,64.00
demo_067,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,0.5,1.00,16.00,2.00,2.00,0.12/2.4,0.25,0.50,<0.03,8,8,4.00,1/0.5,32.00
demo_068,沙门菌,出栏肉鸡,盲肠,无,1.00,0.50,0.25,1,32,2,4,<0.06/1.2,0.25,1,<0.03,16,16,1,1/0.5,16
demo_069,沙门菌,出栏肉鸡,盲肠,无,1.00,0.50,0.5,>512,16,>512,>256,>32/608,>32,>64,<=0.03,4,8,0.5,>512/256,>512
demo_070,沙门菌,出栏肉鸡,盲肠,无,1.00,>256,64,0.5,128,2,2,>32/608,0.25,0.5,<0.03,8,8,4,8/4,16
demo_071,沙门菌,出栏肉鸡,盲肠,无,1.00,0.50,0.5,>512,32,>512,>256,>32/608,>32,>64,<=0.03,16,8,0.5,8/4,>512
demo_072,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,1,0.5,16,64,4,<0.06/1.2,0.5,2,<0.03,8,8,0.5,0.5/0.25,>512
demo_073,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,0.5,1,16,64,2,0.12/2.4,16,16,<0.03,8,8,0.5,1/0.5,>512
demo_074,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,1,32,16,512.00,>256,0.12/2.4,1,2,<=0.03,4,>64,0.5,>512/256,>512
demo_075,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,0.5,>512,>128,64.00,>256,>32/608,512.00,256.00,<0.03,16,>64,>256,64/32,>512
demo_076,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,0.5,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,8,8,<0.12,8/4,>512
demo_077,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,0.5,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,8,8,0.25,8/16,>512
demo_078,沙门菌,出栏肉鸡,盲肠,无,1.00,0.50,0.5,0.5,32,128.00,>256,0.12/2.4,1,2,<=0.03,8,4,2,128/64,>512
demo_079,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,0.5,>512,>128,128.00,>256,>32/608,>32,>64,<0.03,32,16,0.50,8/16,>512
demo_080,沙门菌,出栏肉鸡,盲肠,无,1.00,1.00,1,2.00,,64.00,>256,>32/608,32.00,16.00,<0.03,32,32,>256,8/16,>512
demo_081,沙门菌,肉鸡,盲肠,无,1.00,1.00,1,0.50,128.00,2.00,2.00,>32/608,0.25,0.50,<0.03,8,4,4.00,8/4,16.00
demo_082,沙门菌,肉鸡,盲肠,无,1.00,1.00,1,256.00,16.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,8,2.00,8/4,16.00
demo_083,沙门菌,肉鸡,盲肠,无,1.00,1.00,0.5,>512,>128,64.00,>256,>32/608,>32,64.00,<0.03,8,8,0.25,8/16,>512
demo_084,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.5,1,16,1,4,<0.06/1.2,0.03,0.12,<0.03,8,8,0.5,1/0.5,16
demo_085,沙门菌,肉鸡,盲肠,无,1.00,1.00,2,8,>128,128,64,<0.06/1.2,1,4,4,>512,>64,>256,0.5/0.25,>512
demo_086,沙门菌,肉鸡,盲肠,无,1.00,1.00,1,1,16,1,4,<0.06/1.2,0.25,1,<0.03,8,8,0.5,1/0.5,16
demo_087,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.5,0.5,32,1,2,<0.06/1.2,0.03,0.25,<0.03,4,16,1,0.5/0.25,16
demo_088,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.5,>512,32,64,>256,<0.06/1.2,16,16,<0.03,8,8,0.5,16/8,>512
demo_089,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.50,>512,,128.00,>256,>32/608,>32,64.00,<0.03,32,32,>256,8/16,>512
demo_090,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.5,0.5,32,1,4,<0.06/1.2,0.03,0.12,<0.03,8,8,0.5,1/0.5,32
demo_091,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.5,1,16,2,4,0.12/2.4,0.25,1,<0.03,8,8,0.5,1/0.5,32
demo_092,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.5,0.5,32,2,2,<0.06/1.2,0.5,2,<0.03,8,8,4,1/0.5,16
demo_093,沙门菌,肉鸡,盲肠,无,1.00,<0.25,1,<=0.25,16,2,2,0.12/2.4,0.25,0.5,<=0.03,4,4,4,0.5/0.25,16
demo_094,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.5,>512,32.00,64.00,>256,<0.06/1.2,16.00,16.00,<0.03,8,8,0.50,8/16,>512
demo_095,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.5,>512,>128,64,>256,>32/608,512,256,<0.25,16,>512,>512,64/32,>512
demo_096,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.5,>512,>128,128,>256,>32/608,>32,64,<0.03,8,8,<0.12,8/4,>512
demo_097,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.5,0.5,32,4,4,<0.06/1.2,0.06,0.25,<0.03,8,8,0.5,0.5/0.25,512
demo_098,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.5,16,>128,128,256,0.12/2.4,0.25,1,<0.03,4,>64,0.5,1/0.5,>512
demo_099,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.5,>512,>128,128,>256,>32/608,>32,64,<0.03,8,8,0.25,16/8,>512
demo_100,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.5,1,32,64,8,0.25/4.8,0.12,0.5,<0.03,128,8,0.5,1/0.5,32
demo_101,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.50,1.00,16.00,2.00,4.00,0.25/4.8,0.50,2.00,<0.03,32,8,4.00,32/16,>512
demo_102,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.50,1.00,16.00,2.00,2.00,0.25/4.8,0.50,1.00,<0.03,16,8,4.00,8/16,>512
demo_103,沙门菌,肉鸡,盲肠,无,1.00,1.00,2.00,0.50,16.00,2.00,4.00,<0.06/1.2,0.50,1.00,<0.03,8,4,4.00,1/0.5,16.00
demo_104,沙门菌,肉鸡,盲肠,无,1.00,1.00,1.00,16,16,512.00,>256,0.12/2.4,1,2,<=0.03,2,>64,0.5,16/8,>512
demo_105,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.50,0.50,16.00,2.00,2.00,0.25/4.8,0.25,1.00,<0.03,8,4,4.00,8/16,>512
demo_106,沙门菌,肉鸡,盲肠,无,1.00,0.50,0.50,8,>128,128,>256,>32/608,1,4,<0.03,64,8,0.5,8/4,>512
demo_107,沙门菌,肉鸡,盲肠,无,1.00,0.25,0.50,0.50,128,2.00,4.00,>32/608,0.25,1.00,<0.03,16,8,4.00,8/4,32.00
demo_108,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.50,0.50,16.00,2.00,2.00,0.5/9.5,0.50,1.00,<0.03,16,8,4.00,8/16,>512
demo_109,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.50,0.50,16.00,2.00,4.00,0.25/4.8,0.50,1.00,<0.03,8,4,2.00,8/16,>512
demo_110,沙门菌,肉鸡,盲肠,无,1.00,<0.12,0.50,0.50,16.00,2.00,2.00,0.25/4.8,0.25,1.00,<0.03,8,4,4.00,8/16,>512
demo_111,沙门菌,猪厂,猪鼻拭子,无,1.00,<0.12,1.00,0.5,16,2,4,0.12/2.4,0.5,1,<0.03,8,8,4,1/0.5,8
demo_112,沙门菌,猪厂,猪鼻拭子,无,1.00,1.00,1.00,16,32,512.00,>256,0.12/2.4,1,2,<=0.03,4,>64,0.5,8/4,>512
demo_113,沙门菌,猪厂,猪鼻拭子,无,1.00,0.50,0.50,16,>128,64,>256,>32/608,1,4,<0.03,8,8,0.5,16/8,>512
demo_114,沙门菌,猪厂,猪鼻拭子,无,128.00,1.00,0.5,0.50,16.00,64.00,>256,44215.00,0.50,1.00,<0.03,32,4,2.00,8/4,>512
demo_115,沙门菌,猪厂,猪鼻拭子,无,0.5,0.50,<0.12,>512,>128,64.00,>256,>32/608,16.00,32.00,<0.03,16,>64,>256,64/32,>512
demo_116,沙门菌,猪厂,猪鼻拭子,无,0.5,0.50,0.25,1,32,2,4,<0.06/1.2,0.25,1,<0.03,8,8,1,1/0.5,>512
demo_117,沙门菌,猪厂,猪肛拭子,无,0.50,0.50,0.5,>512,>128,128,>256,>32/608,>32,>64,<0.03,32,16,0.5,16/8,>512
demo_118,沙门菌,猪厂,猪肛拭子,无,>512,32.00,>256,>512,32,>512,>256,>32/608,>32,>64,<=0.03,4,8,0.5,8/4,>512
demo_119,沙门菌,猪厂,猪肛拭子,无,>512,1.00,1,0.5,32,128,4,<0.06/1.2,0.5,2,<0.03,8,8,0.5,1/0.5,16
demo_120,沙门菌,猪厂,猪肛拭子,无,>512,1.00,1,0.50,32.00,2.00,2.00,<0.06/1.2,0.12,0.50,<0.03,2,4,1.00,1/0.5,8.00
demo_121,沙门菌,猪厂,猪肛拭子,无,>512,32.00,>256,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,8,8,1.00,8/16,>512
demo_122,沙门菌,猪厂,猪肛拭子,无,>512,1.00,1,1.00,32.00,2.00,2.00,<0.06/1.2,0.50,1.00,<0.03,8,8,4.00,1/0.5,32.00
demo_123,沙门菌,猪厂,猪肛拭子,无,>512,8.00,>256,32,16,4,>256,0.12/2.4,16,16,<=0.03,2,8,0.5,4/2,>512
demo_124,沙门菌,猪厂,猪肛拭子,无,>512,1.00,0.5,0.50,16.00,64.00,>256,2/38,1.00,2.00,<0.03,32,8,4.00,8/4,>512
demo_125,沙门菌,猪厂,猪肛拭子,无,>512,32.00,>256,>512,>128,64.00,>256,>32/608,2.00,4.00,<0.03,8,8,0.50,64/32,>512
demo_126,沙门菌,猪厂,猪肛拭子,无,>512,16.00,>256,2,16,16,256,0.5/9.5,2,8,0.5,128,4,4,2/1,32
demo_127,沙门菌,猪厂,猪肛拭子,无,>512,0.50,0.5,>512,>128,64,>256,>32/608,>32,64,<0.03,8,8,0.25,16/8,>512
demo_128,沙门菌,猪场,鼻腔拭子,无,>512,32.00,32,0.50,32.00,2.00,4.00,<0.06/1.2,0.50,1.00,<0.03,8,8,4.00,1/0.5,32.00
demo_129,沙门菌,鸡厂,盲肠内容物,无,>512,32.00,>256,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,16,8,0.50,8/4,>512
demo_130,沙门菌,肉鸡厂,盲肠内容物,无,>512,16.00,>256,16,>128,128,>256,>32/608,2,8,<0.03,16,8,0.5,16/8,>512
demo_131,沙门菌,肉鸡厂,盲肠内容物,无,>512,32.00,>256,>512,>128,64.00,>256,>32/608,>32,64.00,<0.03,16,8,0.50,8/16,>512
demo_132,沙门菌,肉鸡厂,盲肠内容物,无,>512,32.00,>256,>512,>128,128.00,>256,>32/608,>32,64.00,<0.03,8,8,<0.12,8/16,>512
